"lon","lat","Year","tipo","M","pi_logit","pi_sar","pi_final","w_ipw","resid_pearson","resid_sar"
-79.18109167,-1.770030556,2008,"presencia",1,0.189447039277258,0.576353667389869,0.576353667389869,1.06132837295151,2.06845838129162,0.857348110623337
-79.6973666666667,-2.979107,2018,"presencia",1,0.257283533913901,0.676488660970431,0.676488660970431,0.904228755553765,1.69904753703349,0.691535521200393
-79.79112,-2.98312,2018,"presencia",1,0.198015917316947,0.694065561505152,0.694065561505152,0.881329565940415,2.01248579387982,0.663917224164072
-79.70454,-3.0117,2018,"presencia",1,0.656343794157842,0.710830583599474,0.710830583599474,0.860543305492037,0.723596410524122,0.637812647291264
-79.687558335,-3.0521041665,2007,"presencia",1,0.588573625551043,0.619760627106401,0.619760627106401,0.986994773952473,0.836075824441943,0.783279123025281
-79.71741944,-3.051647222,2007,"presencia",1,0.64018885026554,0.620176905594861,0.620176905594861,0.986332277995414,0.749692654219208,0.78258746783768
-79.785042,-3.063605,2015,"presencia",1,0.485910418807968,0.742352833411889,0.742352833411889,0.824002378012247,1.02858762630274,0.589125064268324
-79.71616389,-3.064227778,2006,"presencia",1,0.318354137172754,0.525294700891073,0.525294700891073,1.16449014052089,1.46326893445493,0.950627842548207
-79.70500556,-3.064394444,2007,"presencia",1,0.306487918924162,0.538053374751248,0.538053374751248,1.13687698797229,1.50425109166656,0.926580635108611
-79.777859,-3.075906,2024,"presencia",1,0.574387322492857,0.797607659194327,0.797607659194327,0.766919039711093,0.860805146517949,0.503735291940783
-79.71492,-3.08732,2012,"presencia",1,0.373377310529738,0.556671951048032,0.556671951048032,1.09885274245252,1.29547517944928,0.892406932220763
-79.66966,-3.088,2010,"presencia",1,0.797898294062615,0.627144106792469,0.627144106792469,0.975374708030136,0.503281795352093,0.771057619338842
-79.788015,-3.112905,2017,"presencia",1,0.588846772993318,0.785593554288879,0.785593554288879,0.778647554725978,0.835604368791788,0.52242020226595
-79.77353,-3.11472,2018,"presencia",1,0.772056894261972,0.811797128933156,0.811797128933156,0.753513997837622,0.543361143132019,0.481492322590652
-79.885727,-3.133078,2023,"presencia",1,0.584969058968982,0.900418034794289,0.900418034794289,0.679351674908728,0.842313555366198,0.3325586540407
-79.795564,-3.135392,2015,"presencia",1,0.707061270997368,0.756416362597334,0.756416362597334,0.80868226852617,0.643664966119802,0.567470903358484
-79.14427,-3.15736,1997,"presencia",1,0.1023753948556,0.518673166335472,0.518673166335472,1.17935636496738,2.96107617149526,0.963325700308649
-79.625429,-3.18836,2015,"presencia",1,0.776124910537157,0.834844387466986,0.834844387466986,0.732711999072659,0.537077643601658,0.444778619564838
-79.796057,-3.206805,2023,"presencia",1,0.397267134453059,0.694512153032769,0.694512153032769,0.880762845379127,1.23174587825497,0.663219129065966
-79.735397,-3.208535,2019,"presencia",1,0.723464582025915,0.737321404433134,0.737321404433134,0.829625311807965,0.618253728258846,0.596875732616864
-79.81462,-3.22002,2018,"presencia",1,0.326523147926944,0.663164364501323,0.663164364501323,0.922396517061805,1.43616503534192,0.712686324171033
-79.677224,-3.223921,2019,"presencia",1,0.64469353821976,0.785589986290664,0.785589986290664,0.778651091193008,0.742377659801488,0.522425735493358
-79.847837,-3.224016,2020,"presencia",1,0.102913870417626,0.565227406159204,0.565227406159204,1.08222017083728,2.95243343663482,0.877040148176081
-79.94713,-3.226051,2021,"presencia",1,0.620157487880945,0.943271363858325,0.943271363858325,0.64848836028844,0.782619723701882,0.245235222062345
-79.660839,-3.226079,2023,"presencia",1,0.843115098336393,0.852541395952334,0.852541395952334,0.717502402768635,0.431367222013869,0.415888892301899
-79.550203,-3.22774,2020,"presencia",1,0.706548437237222,0.89337733075357,0.89337733075357,0.684705643403278,0.644461893927755,0.345467590735344
-79.2,-3.2333315,2014,"presencia",1,0.356484016626071,0.800916020094649,0.800916020094649,0.76375111086333,1.34356795733786,0.498568305832692
-79.675686,-3.244103,2019,"presencia",1,0.623555279574437,0.794929885140383,0.794929885140383,0.769502457373961,0.77698587718087,0.507910013536145
-79.659068,-3.244918,2022,"presencia",1,0.66458605783005,0.811165089057735,0.811165089057735,0.7541011174015,0.710419612462567,0.482488002047565
-79.422299,-3.247155,2024,"presencia",1,0.718020766225506,0.807827452770114,0.807827452770114,0.757216776872275,0.626671668060638,0.487737748784946
-79.713768,-3.247664,2023,"presencia",1,0.588511172859658,0.760737861019046,0.760737861019046,0.804088413893483,0.836183642619379,0.560814811248529
-79.230044,-3.249313,2012,"presencia",1,0.367689783986386,0.824877414970441,0.824877414970441,0.741565339229763,1.31136720215406,0.460761701370697
-79.31124,-3.260166,2001,"presencia",1,0.555072903179417,0.722300696013034,0.722300696013034,0.8468779047729,0.89530171085716,0.620052380179561
-79.7801,-3.260699,2014,"presencia",1,0.226309214114537,0.606356121873703,0.606356121873703,1.00881392631991,1.84898162041858,0.805726908017297
-79.30169,-3.26913525,2005,"presencia",1,0.594113485901231,0.741857872323481,0.741857872323481,0.824552145196888,0.826547098298094,0.589887356681613
-79.7418175,-3.271637,2006,"presencia",1,0.236436212383536,0.539835334530753,0.539835334530753,1.13312423423939,1.79707277585435,0.923264166150329
-79.617539,-3.271323,2021,"presencia",1,0.861626512055656,0.891294879927016,0.891294879927016,0.686305412307109,0.400743897150948,0.34923221155713
-79.5276014285714,-3.27218328571429,2012,"presencia",1,0.86599635949657,0.863324316843444,0.863324316843444,0.708540797613664,0.393369121049448,0.397885983047292
-79.54273,-3.27459,2014,"presencia",1,0.803563123183159,0.897388274677584,0.897388274677584,0.681645300386055,0.494426239848048,0.338149149629842
