reino,filo,clase,orden,familia,genero,especie,latitud,longitud,fecha,mes,anio,total_individuos,cluster_dbscan,clusterkmean,clusterkmean_amb
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.43018,-79.59009,2018-02-17,2,2018,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.43044,-79.58925,2018-02-22,2,2018,5,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.43405,-79.5834,2018-02-17,2,2018,4,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.43427,-79.58263,2018-02-17,2,2018,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.43449,-79.58186,2018-02-17,2,2018,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.45,-79.033333,1955-02-20,2,1955,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.45478,-79.62748,2018-02-19,2,2018,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4636,-78.2403,1975-06-16,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4636,-78.2403,1975-06-07,6,1975,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.465654,-77.037119,2018-12-08,12,2018,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.466666,-79,1990-01-06,1,1990,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-07,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-05-28,5,1975,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-08,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-05-30,5,1975,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-05-29,5,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-02,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-03,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-05-31,5,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-16,6,1975,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4667,-78.1667,1975-06-11,6,1975,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.474177,-78.17435,2000-03-27,3,2000,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.48333,-78.1333,1954-07-20,7,1954,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4861,-78.2125,1975-06-03,6,1975,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.4861,-78.2125,1975-06-13,6,1975,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,NA,vertebralis,-2.511667017,-78.797222,1987-02-01,2,1987,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.53323,-76.87182,2022-03-18,3,2022,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.536505,-79.690479,2020-12-27,12,2020,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.538666,-76.85833,1994-02-03,2,1994,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.538666,-76.85833,2003-06-23,6,2003,5,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.538666,-76.85833,2003-06-25,6,2003,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.538666,-76.85833,2003-06-01,6,2003,1,1,4,7
