"lon","lat","Year","tipo","M","pi_logit","pi_sar","pi_final","w_ipw","resid_pearson","resid_sar"
-77.13333333,0.3,1995,"presencia",1,0.208493452064657,0.235063404282613,0.235063404282613,1.66065005029588,1.94841312293143,1.80393219115545
-77.13800833,0.289625,1995,"presencia",1,0.204504726394287,0.235708221936161,0.235708221936161,1.65610707568091,1.97227344347876,1.80070357974368
-76.630614,0.204341,2004,"presencia",1,0.19172279900769,0.298056685392095,0.298056685392095,1.30967723012528,2.05325686741797,1.53462259175587
-77.316925,0.192097222,1990,"presencia",1,0.0705494216399942,0.20606998870032,0.20606998870032,1.89429842068039,3.62966398403642,1.96283473976457
-76.80588333,0.190369444,2000,"presencia",1,0.10389494652365,0.321334501431849,0.321334501431849,1.21480280643762,2.93685328555955,1.45327969858491
-76.669289,0.14238,2004,"presencia",1,0.28184122430051,0.333396530576645,0.333396530576645,1.1708521785439,1.59627597595916,1.41401249380082
-76.04857,0.123918,2008,"presencia",1,0.304121745647447,0.421271335898387,0.421271335898387,0.926619071559142,1.5126654772635,1.1720780739313
-76.9088345,0.1145075,2021,"presencia",1,0.133768045053092,0.455414511528783,0.455414511528783,0.857148914368687,2.54472531527603,1.09352722456426
-77.26908,0.109567,2024,"presencia",1,0.230154226235161,0.374627865818129,0.374627865818129,1.04198883682121,1.82891022491767,1.29201996225093
-76.872025,0.07485,2023,"presencia",1,0.264730953632455,0.459305879604739,0.459305879604739,0.849886908655664,1.66655933115726,1.08498771559305
-77.135683,0.067194,2020,"presencia",1,0.323481418130387,0.443456651345014,0.443456651345014,0.880262034543124,1.4461561729751,1.12027311025326
-77.29743889,0.0615,2001,"presencia",1,0.0938797306444167,0.222291577164876,0.222291577164876,1.75606318117537,3.10675499507848,1.8704534211243
-77.08305598,0.052778001,1996,"presencia",1,0.212894996334927,0.34077604749462,0.34077604749462,1.14549733472921,1.92279776853262,1.39085532854172
-76.727122,0.004681,2004,"presencia",1,0.248582673444572,0.35567719313054,0.35567719313054,1.0975065640528,1.73862201816386,1.34593393479324
-76.1736745909091,-0.00127918181818181,2023,"presencia",1,0.213711445426641,0.511407206954913,0.511407206954913,0.763301824526413,1.91812579676746,0.977439996728082
-76.1811038571429,-0.00949142857142857,1994,"presencia",1,0.131783187440507,0.397447724253929,0.397447724253929,0.982162006028352,2.56675308054843,1.23128151128044
-76.173831,-0.007633,2015,"presencia",1,0.187796159473822,0.479270838485033,0.479270838485033,0.814483216584922,2.07964480780908,1.04235450385982
-77.10547917,-0.0247569445,1995,"presencia",1,0.152511422642067,0.300645139953571,0.300645139953571,1.29840134520361,2.35730480031062,1.5251821181647
-76.320398,-0.031875,2001,"presencia",1,0.186542624222938,0.391740483684232,0.391740483684232,0.996471057761025,2.08823013958508,1.24607800022192
-76.181687,-0.035046,2010,"presencia",1,0.173158380157021,0.478096727455019,0.478096727455019,0.81648342631956,2.1851910210311,1.04480952824433
-76.62070498,-0.061487913,2010,"presencia",1,0.229587230371959,0.278780748952678,0.278780748952678,1.40023317826334,1.83184140798016,1.60843037100707
-76.64302,-0.081164,1992,"presencia",1,0.157071713461152,0.214128891619301,0.214128891619301,1.82300506574637,2.31657477619174,1.91574643862118
-77.59578611,-0.084558333,2003,"presencia",1,3.55801146249808e-05,0.0480224601504309,0.0480224601504309,5.90384175609054,167.644226866027,4.45236898330047
-76.14203,-0.088599,2003,"presencia",1,0.49335346564221,0.522997029107646,0.522997029107646,0.746386752541757,1.0133826079006,0.955016623157038
-76.128466,-0.123929,2022,"presencia",1,0.589416052658422,0.599695002539056,0.599695002539056,0.650927642371373,0.83462233600265,0.817015491113302
-76.99216389,-0.142325,2002,"presencia",1,0.192659954412184,0.327909653540645,0.327909653540645,1.19044392237222,2.04706918511348,1.43164957135641
-75.6767524,-0.177984345,2000,"presencia",1,0.326742736975637,0.195676179411701,0.195676179411701,1.9949186217671,1.43544829013084,2.02743287963806
-76.65,-0.1833,1987,"presencia",1,0.0103962411362735,0.0620481931517135,0.0620481931517135,5.90384175609054,9.75646511433262,3.88799495312219
-77.03476,-0.1990635,2008,"presencia",1,0.304997081014252,0.40421579386375,0.40421579386375,0.965716976106632,1.50954294519862,1.21405357949518
-76.430236,-0.2506779,1986,"presencia",1,0.226176604862066,0.521427060540177,0.521427060540177,0.748634053898637,1.84968207352481,0.958025978887902
-75.88859,-0.25971,1992,"presencia",1,0.187496784117898,0.181711509449596,0.181711509449596,2.14822965989902,2.08168797106628,2.12208122687169
-75.68510441,-0.262859811,2000,"presencia",1,0.269571266824417,0.21111799499688,0.21111799499688,1.84900417489476,1.64608449682868,1.93305138367318
-78.46041,-0.296618,2023,"presencia",1,0.160118579140778,0.285972170614467,0.285972170614467,1.36502112532797,2.2902775885546,1.58014042375578
-77.17943598,-0.302761007,1996,"presencia",1,0.288836055566072,0.372098734861173,0.372098734861173,1.04907116733488,1.56913085475402,1.29902222755081
-76.45,-0.319333,2000,"presencia",1,0.261130522961118,0.571884238739922,0.571884238739922,0.682582291487433,1.68211252190739,0.8652199898025
-76.295646,-0.344647,2019,"presencia",1,0.407316085553362,0.688016389776818,0.688016389776818,0.567367376627857,1.20627350679846,0.673389744062906
-75.620809,-0.363093,2016,"presencia",1,0.307595080602249,0.256493151774964,0.256493151774964,1.52190439176764,1.50034238950606,1.70256852108512
-76.09039,-0.38174,2016,"presencia",1,0.193546259113905,0.313238545296044,0.313238545296044,1.24620057143897,2.04125536682986,1.48069413698619
-76.151451,-0.383123,2023,"presencia",1,0.230536323327254,0.354302727956639,0.354302727956639,1.1017641788872,1.82694040296558,1.34997966814656
-76.6060755,-0.385302,2014,"presencia",1,0.508187733996219,0.546282605157176,0.546282605157176,0.71457163464381,0.983756440923657,0.911347547022983
-76.0713125,-0.3921166665,2010,"presencia",1,0.222153775692633,0.301132452722169,0.301132452722169,1.296300184905,1.87119920619632,1.52341650404705
-76.08025278,-0.397480556,2010,"presencia",1,0.222263488249205,0.301331952598004,0.301331952598004,1.29544195621831,1.87060538812978,1.52269474186543
-75.87539,-0.399065,2004,"presencia",1,0.318053699617518,0.196904502472096,0.196904502472096,1.98247398735822,1.46428246943038,2.01955540431988
-76.733315,-0.4166835,1987,"presencia",1,0.231147123564094,0.330488397451608,0.330488397451608,1.18115509395999,1.82380068739452,1.42331473431456
-76.09301667,-0.417308333,2010,"presencia",1,0.182039563207693,0.286655360741185,0.286655360741185,1.36176784950165,2.11974322903582,1.577501086312
-77.06532,-0.41832,2011,"presencia",1,0.132484859812203,0.387638268851487,0.387638268851487,1.00701629718143,2.55891232587597,1.25687097850391
-76.674432,-0.42277,2007,"presencia",1,0.260170973232308,0.430029547054623,0.430029547054623,0.907747053239249,1.68630552344531,1.15126956276163
-76.102295,-0.427548,2009,"presencia",1,0.17868472624792,0.282540288901972,0.282540288901972,1.38160138386522,2.14393312342216,1.59352384573221
-76.2920755,-0.434732,2013,"presencia",1,0.232502733028453,0.639476944872309,0.639476944872309,0.610433350685675,1.81687223283287,0.750851539628037
-77.12399,-0.436,1994,"presencia",1,0.0869657053918721,0.331204378875793,0.331204378875793,1.17860173065838,3.24018295628212,1.42101504313374
-76.292699,-0.4455,2023,"presencia",1,0.556792532756619,0.692050832527955,0.692050832527955,0.564059799940887,0.892188936078226,0.667068632655093
-76.5275675,-0.448308,2016,"presencia",1,0.30528932543903,0.5892103769059,0.5892103769059,0.662510487670832,1.50850299369667,0.834977050118965
-76.401337,-0.449477,2015,"presencia",1,0.39659762242621,0.60922440565677,0.60922440565677,0.640745923045909,1.2334696142493,0.800894054536104
-76.089548,-0.450727,2009,"presencia",1,0.360340280727025,0.27272922915788,0.27272922915788,1.43130259763492,1.3323492914183,1.63298510823974
-76.524609,-0.457851,2019,"presencia",1,0.317054136873869,0.638513499764417,0.638513499764417,0.611354426004567,1.46766327546647,0.752421158568239
-76.8447012857143,-0.466823714285714,2010,"presencia",1,0.257207344001411,0.428471500182123,0.428471500182123,0.911047885282264,1.69938632134887,1.15493615182056
-76.45854965,-0.4701089,2011,"presencia",1,0.464712281203419,0.713571764861368,0.713571764861368,0.547048066315349,1.07325164972249,0.633561947210527
-76.587744,-0.468971,1992,"presencia",1,0.141220022392033,0.434987903877347,0.434987903877347,0.897399791270314,2.46599855149188,1.13969930290343
-76.0667,-0.4712,2009,"presencia",1,0.356961133773481,0.268368619323617,0.268368619323617,1.45455923694984,1.34217191019417,1.65112630488338
-77.299515,-0.4727945,2012,"presencia",1,0.359667649242162,0.462907080062402,0.462907080062402,0.843275186225323,1.33429553784112,1.07715400882895
-76.313481,-0.475717,2007,"presencia",1,0.481024604130701,0.6404201429063,0.6404201429063,0.609534316602149,1.03869906096347,0.749316310653586
-76.809788,-0.476932,2021,"presencia",1,0.126296018470939,0.46316119859819,0.46316119859819,0.842812513928423,2.63019124414594,1.07660369109422
-76.47554,-0.478243,2009,"presencia",1,0.470232024940467,0.710873006793433,0.710873006793433,0.549124879428814,1.06141873492941,0.637746829315673
-76.3769235,-0.4889525,2018,"presencia",1,0.42552054034962,0.595104767826762,0.595104767826762,0.655948456891338,1.16192203593802,0.824849312052101
-77.30055,-0.486819444,2005,"presencia",1,0.327446689389821,0.436590246647469,0.436590246647469,0.894106217768631,1.43315464451214,1.13599171958727
-76.404774,-0.487222,2019,"presencia",1,0.453954275757674,0.656067891255563,0.656067891255563,0.594996431539405,1.09675203741494,0.724039016119181
-76.77274,-0.49018,2002,"presencia",1,0.115872816446864,0.379268638742472,0.379268638742472,1.02923894640733,2.76227294803393,1.27931760824473
-76.331774,-0.492103,2024,"presencia",1,0.497973791904628,0.676572389394459,0.676572389394459,0.576964209985007,1.00406066060532,0.691403240899144
-76.4363935,-0.4933365,2022,"presencia",1,0.543851384752653,0.742689440694184,0.742689440694184,0.525600651841473,0.915826194464247,0.588606670812999
-76.558654,-0.49417,2001,"presencia",1,0.218939947131603,0.485987910178067,0.485987910178067,0.803225853913967,1.88877275178255,1.02842809935679
-76.3736326985,-0.49772900015,2018,"presencia",1,0.442879636051888,0.614720828430781,0.614720828430781,0.635016801270787,1.12158362702358,0.791678410179501
-77.53995,-0.499985,2002,"presencia",1,0.0657335417409092,0.250427632138997,0.250427632138997,1.5587659029894,3.77000444453403,1.73007790848349
-77.283333,-0.5,2012,"presencia",1,0.342602627809881,0.466700876530611,0.466700876530611,0.836420229262283,1.38521962897311,1.06897150021029
-76.4376684,-0.511077,2024,"presencia",1,0.555310910884533,0.760400206420771,0.760400206420771,0.51335869039551,0.89487038052391,0.561334980382282
-77.00153056,-0.510733333,2005,"presencia",1,0.134708952025232,0.357293784900437,0.357293784900437,1.09254084633299,2.5344450322738,1.341199920302
-76.410652,-0.512388,2017,"presencia",1,0.462413992270298,0.66579233771694,0.66579233771694,0.58630601770398,1.07822275916096,0.708498287610856
-76.451828,-0.512628,2022,"presencia",1,0.547246876942883,0.757105729779881,0.757105729779881,0.515592523990189,0.909576186181959,0.566409290946058
-76.3540305,-0.5166395,2020,"presencia",1,0.481591119150875,0.644652465544143,0.644652465544143,0.605532554374311,1.03752120484413,0.742444217710869
-76.339673,-0.522141,2018,"presencia",1,0.472159813543046,0.658292351874618,0.658292351874618,0.592985856562089,1.0573206529291,0.72047338958656
-76.4376922222222,-0.525485666666667,2015,"presencia",1,0.510722761212041,0.734122993530984,0.734122993530984,0.531733861470676,0.97877957893002,0.601805256454651
