grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
74,-0.47010889999999994,-76.45854965,20,2011-06-26,2011,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
75,-0.468971,-76.587744,2,1992-12-25,1992,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
76,-0.469187,-76.98638,9,1983-07-01,1983,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
77,-0.4712,-76.0667,2,2009-03-07,2009,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
78,-0.4727945,-77.299515,2,2012-06-01,2012,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
79,-0.475717,-76.313481,1,2007-10-21,2007,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
80,-0.476932,-76.809788,1,2021-05-20,2021,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
81,-0.478243,-76.47554,1,2009-01-16,2009,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
82,-0.4889525,-76.3769235,2,2018-08-29,2018,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
83,-0.486819444,-77.30055,3,2005-08-01,2005,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
84,-0.487222,-76.404774,1,2019-02-01,2019,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
85,-0.49018,-76.77274,3,2002-08-15,2002,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
86,-0.492103,-76.331774,1,2024-10-15,2024,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
87,-0.49333649999999996,-76.43639350000001,2,2022-12-30,2022,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
88,-0.49417,-76.558654,1,2001-01-08,2001,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
89,-0.49772900015,-76.3736326985,29,2018-04-05,2018,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
90,-0.499985,-77.53995,1,2002-01-16,2002,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
91,-0.5,-77.283333,1,2012-03-02,2012,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
92,-0.511077,-76.43766839999999,6,2024-08-19,2024,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
93,-0.510733333,-77.00153056,1,2005-12-01,2005,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
94,-0.512388,-76.410652,1,2017-12-30,2017,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
95,-0.512628,-76.451828,1,2022-10-06,2022,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
96,-0.5166395,-76.3540305,2,2020-01-03,2020,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
97,-0.522141,-76.339673,1,2018-04-04,2018,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
98,-0.5254856666666667,-76.43769222222221,10,2015-04-06,2015,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
99,-0.52492,-76.38445,1,2009-01-07,2009,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
100,-0.525706,-76.453265,1,2019-01-04,2019,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
101,-0.525803,-76.394189,1,2023-02-11,2023,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
102,-0.526303,-75.988335,1,2019-03-26,2019,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
103,-0.527061,-77.411234,1,2022-05-03,2022,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
104,-0.5323672,-76.4325474,5,2024-02-08,2024,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
105,-0.530701,-76.362321,1,2018-05-27,2018,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
106,-0.5336825000000001,-77.425254,2,2023-02-05,2023,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
107,-0.538053,-76.378489,1,2021-09-07,2021,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
108,-0.547558,-76.051995,1,2018-06-26,2018,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
109,-0.553235,-76.285667,1,2003-11-19,2003,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
110,-0.556351,-75.71191,1,2024-05-15,2024,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
111,-0.557258,-76.007845,1,1996-12-12,1996,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
112,-0.570376072,-76.51817992,1,1996-10-26,1996,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
113,-0.595194266,-76.05022436,1,2006-03-01,2006,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
114,-0.597083333,-75.24066667,1,2012-10-01,2012,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
115,-0.5980416664999999,-76.45515139,4,2008-05-01,2008,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
116,-0.609102222,-76.46694038999999,3,2005-10-28,2005,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
117,-0.613732,-75.885619,1,2005-08-11,2005,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
118,-0.617095,-76.532112,2,2022-02-18,2022,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
119,-0.620417,-77.30738,1,2006-12-13,2006,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
120,-0.621399,-76.699063,1,2023-01-17,2023,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
121,-0.6258859999999999,-76.1678445,2,2023-06-14,2023,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
122,-0.6241978571428571,-76.6193515,14,2022-12-26,2022,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
123,-0.623611111,-77.35833333,2,1996-09-01,1996,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
124,-0.62516874975,-76.49661389250001,8,2006-12-01,2006,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
125,-0.626981,-76.138599,2,2022-06-05,2022,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
126,-0.6364580677966102,-76.14983984745763,61,2025-01-22,2025,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
127,-0.631087,-76.726532,1,2023-11-14,2023,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
128,-0.6325915,-76.618145,2,2022-03-23,2022,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
129,-0.6336821111111112,-76.16341811111111,9,2024-06-29,2024,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
130,-0.633333,-76.5,1,1997-07-11,1997,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
131,-0.635091,-76.134649,1,2025-02-15,2025,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
132,-0.636023,-77.43523,1,2020-10-24,2020,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
133,-0.6392708461538461,-76.14578984615385,13,2023-06-15,2023,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
134,-0.647146,-76.145441,1,2022-05-26,2022,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
135,-0.6529913826666667,-76.45435623444445,30,2003-09-01,2003,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
136,-0.64933,-77.14469,1,2001-02-18,2001,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
137,-0.649580556,-76.35519444,3,2003-09-01,2003,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
138,-0.650613889,-75.26681667,1,2000-02-01,2000,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
139,-0.653185,-76.675284,1,2023-01-17,2023,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
140,-0.656174,-76.070531,1,2025-01-22,2025,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
141,-0.660829,-76.450388,2,1996-05-22,1996,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
142,-0.6616285,-76.81023400000001,2,2012-05-10,2012,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
143,-0.66142,-76.694755,1,2024-10-10,2024,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
144,-0.665327778,-76.46873889,3,2000-06-01,2000,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
145,-0.6749782501041667,-76.39979241166667,94,2023-02-10,2023,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
146,-0.6768075685,-76.38547726833333,12,1999-04-01,1999,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
147,-0.672251,-76.439698,2,1995-01-24,1995,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
148,-0.675027,-76.412882,1,2007-03-11,2007,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
149,-0.6774919354186046,-76.3950853544186,58,2024-03-22,2024,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
150,-0.676285,-76.81377,1,2003-03-21,2003,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
151,-0.680420829,-75.72246083,1,2014-07-30,2014,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
152,-0.6810329999999999,-76.846899,5,2003-03-21,2003,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
153,-0.682205,-76.401153,1,2022-12-07,2022,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
154,-0.682395,-76.625107,1,2024-11-19,2024,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
155,-0.683333,-77.31666,1,1999-10-25,1999,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
156,-0.68486066,-76.47575315,1,1996-10-11,1996,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
157,-0.688693,-76.42981,2,2003-02-24,2003,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
158,-0.689605,-77.305153,1,2022-10-07,2022,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
159,-0.691588889,-75.91960278,3,2006-06-01,2006,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
160,-0.69345,-76.72827588999999,2,2007-09-01,2007,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
161,-0.711353,-76.041241,1,2006-04-06,2006,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
162,-0.714631,-76.347389,1,2020-02-23,2020,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
163,-0.718333333,-77.61166667,1,1988-08-01,1988,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
164,-0.725779,-77.4913795,2,2025-02-09,2025,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
165,-0.726388889,-76.72666667,3,1996-02-19,1996,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
166,-0.73,-77.37099,1,1995-01-15,1995,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
167,-0.740778,-77.37441,1,2006-12-13,2006,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
168,-0.740991667,-76.16654444,1,2005-04-01,2005,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
169,-0.770867,-76.4103,1,2025-02-18,2025,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
170,-0.775834,-77.187025,1,2022-04-22,2022,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
171,-0.789916,-76.769916,1,2014-11-07,2014,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
172,-0.7966759626666667,-77.43116221999999,3,1996-09-01,1996,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
173,-0.8077145,-76.39932400000001,11,1994-02-06,1994,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
174,-0.811711111,-76.34727222,2,2005-04-01,2005,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
175,-0.823888889,-76.455,2,1986-07-01,1986,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
176,-0.8361596666666666,-77.23815933333334,3,2024-04-01,2024,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
177,-0.83566,-76.33425,1,2018-07-22,2018,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
178,-0.83588,-76.353313,3,1994-02-21,1994,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
179,-0.837625,-76.30898056,10,2002-08-01,2002,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
180,-0.8440318888888889,-77.23150177777777,9,2024-08-14,2024,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
181,-0.846906,-77.25358,1,2023-12-04,2023,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
182,-0.895531,-76.219694,1,1994-03-06,1994,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
183,-0.8988825,-77.3354215,2,2004-04-29,2004,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
184,-0.9124236,-76.2211784,17,1994-05-06,1994,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
185,-0.909575,-77.80907,3,2006-01-12,2006,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
186,-0.9156044999999999,-75.96399500000001,4,2016-08-02,2016,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
187,-0.914656,-77.33461,1,2021-07-01,2021,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
188,-0.9167,-77.8,1,1986-05-25,1986,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
189,-0.917622,-75.615795,1,2025-01-22,2025,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
190,-0.922222,-76.216349,2,1994-01-03,1994,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
191,-0.926756,-77.85603,1,2009-08-19,2009,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
192,-0.929419,-75.96315000000001,4,2016-08-02,2016,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
193,-0.933333,-75.4,1,2023-07-06,2023,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
194,-0.939442,-77.865231,1,2024-10-29,2024,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
195,-0.9426795,-77.452001,2,2024-04-27,2024,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
196,-0.966537,-77.429467,1,2024-01-05,2024,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
197,-0.98723,-76.22601,1,2018-07-19,2018,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
198,-0.9925,-76.2491,1,2012-06-27,2012,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
199,-0.9972634444999999,-77.41581694499999,6,2006-01-01,2006,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
200,-0.995596,-77.812968,1,2023-05-07,2023,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
201,-1.020866,-77.67024366666668,3,2025-03-06,2025,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
202,-1.01907425,-77.59871075,4,2025-02-21,2025,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
203,-1.019087,-77.86988,1,2006-12-14,2006,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
204,-1.0320361249999999,-77.660653375,12,2006-01-01,2006,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
205,-1.028669,-77.672033,1,2022-06-17,2022,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
206,-1.0311000000000001,-77.526763,3,2024-03-04,2024,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
207,-1.0357478,-77.3980334,5,2021-07-10,2021,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
208,-1.040144,-75.815048,1,2023-08-10,2023,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
209,-1.043055,-77.806758,1,2024-06-22,2024,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
210,-1.0528141666666666,-77.60088449999999,7,2020-09-27,2020,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
211,-1.053574,-77.5452695,5,2021-02-10,2021,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
212,-1.0567705,-77.50093050000001,4,2022-08-31,2022,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
213,-1.058833,-77.52316766666667,3,2023-08-05,2023,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
214,-1.058324,-77.582726,1,2019-08-27,2019,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
215,-1.063866,-77.49670850000001,2,2021-10-21,2021,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
216,-1.0682027647058823,-77.5083984117647,19,2023-09-22,2023,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
217,-1.0683484,-77.5264364,5,2019-01-15,2019,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
218,-1.0659137777777778,-77.61520533333334,31,2001-11-30,2001,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
219,-1.066667,-77.6,1,2009-08-08,2009,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
220,-1.0682,-75.85234,1,2007-10-17,2007,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
221,-1.06984,-77.58652,10,2013-06-14,2013,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
222,-1.0713705,-77.67648249999999,2,2023-11-22,2023,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
223,-1.069997,-77.6211626,8,2019-05-03,2019,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
224,-1.0748155,-77.50235683333334,6,2024-10-26,2024,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
225,-1.0759687777777778,-77.52986866666667,9,2021-07-08,2021,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
226,-1.074018,-77.612667,1,2023-07-16,2023,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
227,-1.0788056666666668,-77.51428800000001,3,2024-08-28,2024,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
228,-1.08288,-77.522085,4,2022-08-02,2022,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
229,-1.094197,-77.53372075,4,2019-04-30,2019,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
230,-1.090585,-75.534741,1,2005-02-04,2005,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
231,-1.092678,-76.740539,1,2018-03-04,2018,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
232,-1.094416,-77.69805,1,2006-01-01,2006,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
233,-1.095133,-77.92444,1,2003-05-03,2003,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
234,-1.097208,-77.954283,1,2023-07-14,2023,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
235,-1.098611,-77.545397,1,2022-08-16,2022,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
236,-1.1025164,-77.591623,13,2004-02-19,2004,2,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
237,-1.100655,-75.806908,3,2006-12-11,2006,12,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
238,-1.1088448000000002,-77.594998,7,2006-01-01,2006,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
239,-1.109412,-77.6044,10,2005-01-01,2005,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
240,-1.109799,-77.40067,1,2010-03-21,2010,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
241,-1.115459,-77.772657,1,2017-11-22,2017,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
242,-1.1183594,-77.5912864,5,2023-05-01,2023,5,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
243,-1.15306,-75.805776,1,2023-07-27,2023,7,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
244,-1.16553,-77.16837,1,2018-10-07,2018,10,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
245,-1.241342,-77.681351,1,2017-11-02,2017,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
246,-1.291386,-77.550086,1,2021-11-23,2021,11,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
247,-1.37415,-77.85198,2,2012-03-10,2012,3,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
248,-1.414763,-77.592371,1,2013-09-04,2013,9,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
249,-1.831239,-78.183406,3,2014-06-14,2014,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
250,-2.541381,-76.859024,1,2011-08-02,2011,8,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
251,-3.458593,-72.968735,1,2019-04-04,2019,4,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
252,-3.472993,-72.5138328,5,2025-01-15,2025,1,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
253,-3.65833,-79.76667,2,1987-06-22,1987,6,bilinguis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega
0,5.24227,-76.0951,8,1987-08-19,1987,8,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
1,5.07946,-74.95703,2,1997-06-19,1997,6,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
2,4.8356,-75.10834,23,1996-05-19,1996,5,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
3,1.660181,-75.631411,1,2016-03-29,2016,3,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
4,1.651353,-75.617972,3,2016-04-19,2016,4,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
5,1.634361,-75.580722,1,2014-11-08,2014,11,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
6,1.6210475,-75.664346,6,2017-11-22,2017,11,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
7,1.603472,-75.879,1,2011-06-24,2011,6,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
8,0.247,-77.337,1,1999-10-24,1999,10,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
9,0.083333,-77.666664,1,1968-08-04,1968,8,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
10,0.07209,-77.5802,10,2013-06-14,2013,6,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
11,0.05,-77.33334,2,1983-06-01,1983,6,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
12,-0.011261,-77.4902,2,1979-02-01,1979,2,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
13,-0.045764,-77.52896333333332,3,1983-05-01,1983,5,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
14,-0.07144333333333334,-77.57994333333333,26,2002-05-18,2002,5,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
15,-0.09932457142857143,-77.59597142857142,31,2015-08-06,2015,8,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
16,-0.10117722222222222,-77.58475555555555,27,2006-05-27,2006,5,bocagei,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
